State,DNI,Res E c/kWh,Com E c/kWh,Ind E c/kWh,Res G $/MBTU,Com G $/MBTU,Ind G $/MBTU,Res P $/Gal,Com P $/Gal,Ind P $/Gal,Res G Use mcf,Com G Use mcf,Ind G Use mcf,State Cred
U.S. Total,3.801,12.65,10.64,6.91,10.38,7.91,3.91,2.15,0.585,0.585,4609670,2085215.88,7534589,
Alabama,4.9,11.7,10.83,6.03,14.13,11.26,4.08,2.3,,,32709,16166.04,186954,
Alaska,3.5,19.83,17.44,14.53,9.64,8.01,6.86,,,,18574,12184.92,4864,
Arizona,8.1,12.13,10.39,6.26,17.04,10.53,6.78,,,,34507,18542.04,20402,
Arkansas,4.95,9.82,8.32,6.23,11.58,8.43,6.91,2.3,,,32998,31425.9,85287,
California,6.3,16.99,15.73,12.17,11.39,8.04,6.41,,,,401172,144326.82,777104,
Colorado,5.72,12.12,9.88,7.4,8.27,7.47,5.74,1.94,,,122364,35401.74,78694,
Connecticut,4.3,20.94,15.97,12.95,12.5,8.6,6.35,2.87,,,50975,34605.12,25612,
Delaware,4.28,13.42,10.25,8.28,12.62,10.7,10.11,2.77,0.726,0.726,11260,7742.46,33126,
District of Columbia,4.34,12.99,12.01,8.78,11.98,11.07,,,,,13494,10703.22,0,
Florida,4.85,11.58,9.5,8.22,19.55,10.92,6.43,2.88,0.625,0.625,15044,41203.8,96124,
Georgia,4.43,11.54,9.89,5.87,14.62,8.58,4.42,2.88,0.625,0.625,118025,34652.64,157936,
Hawaii,7.5,29.6,26.93,23.06,40.08,31.17,19.03,,,,572,1259.28,442,
Idaho,3.95,9.93,7.8,6.6,8.59,7.59,5.83,1.94,,,23482,10917.72,31664,
Illinois,4.49,12.5,9.02,6.67,7.97,7.29,5.47,1.65,0.545,0.545,400876,141744.24,265900,
Indiana,4.28,11.57,9.78,6.86,8.92,7.61,6.36,1.65,0.545,0.545,133045,51106.44,372537,
Iowa,4.72,11.63,8.92,5.9,8.51,6.5,5.28,1.65,0.545,0.545,62739,32500.38,178772,
Kansas,6.12,12.34,10.1,7.61,10.17,8.87,4.24,1.65,0.545,0.545,57408,20421.72,111016,
Kentucky,4.32,10.24,9.44,5.48,10.87,8.75,4.45,1.65,0.545,0.545,49426,23356.74,115956,
Louisiana,4.94,9.33,8.66,5.41,10.91,8.07,3.31,,,,36046,19631.04,948918,
Maine,3.93,15.61,12.47,9.05,16.79,14.16,8.95,2.87,,,2700,6647.52,20972,
Maryland,4.14,13.82,11,8.53,12.03,9.8,9.7,2.77,0.726,0.726,82858,46157.76,14765,
Massachusetts,4.09,19.83,15.79,13.54,13.02,10.81,9.22,2.87,,,126662,69032.7,44554,
Michigan,4.04,14.42,10.55,7.02,8.81,7.51,6.6,1.65,0.545,0.545,312098,110792.22,171196,
Minnesota,4.71,12.12,9.44,7.02,8.79,7.31,4.87,1.65,0.545,0.545,117586,61337.1,157400,
Mississippi,4.99,11.27,10.55,6.56,9.7,7.86,4.75,2.3,,,23248,12946.56,121866,
Missouri,4.69,11.21,9.16,6.44,11.6,9.14,7.58,1.65,0.545,0.545,95503,40435.56,65691,
Montana,4.62,10.88,10.23,5.32,8.26,8.13,6.53,1.94,,,18796,12779.58,21152,
Nebraska,5.68,10.6,8.67,7.59,8.86,6.4,4.56,1.65,0.545,0.545,34663,19409.94,85604,
Nevada,6.6,12.76,9.25,6.75,11.82,8.66,8.07,,,,37029,18997.44,17724,
New Hampshire,4.02,18.5,14.96,12.74,16.18,13.63,10.33,2.87,,,7842,6304.98,8386,
New Jersey,4.07,15.81,12.79,10.64,8.32,8.5,8.09,2.77,0.726,0.726,237104,107569.44,55368,
New Mexico,7.54,12.47,10.3,6.33,8.63,6.32,4.62,,,,33130,16411.56,17937,
New York,3.59,18.54,15.31,6.31,11.2,6.85,6.62,2.77,0.726,0.726,452148,202685.34,83055,
North Carolina,4.69,11.28,8.73,6.51,11.57,8.27,6.34,2.88,0.625,0.625,64523,36286.14,105103,
North Dakota,4.84,9.62,8.83,8.07,8.15,6.62,3.13,1.65,0.545,0.545,10552,8129.22,31660,
Ohio,3.97,12.8,10.07,7.02,9.51,6.39,5.35,1.65,0.545,0.545,285306,109588.38,276004,
Oklahoma,6.22,10.14,7.68,5.35,10.24,8.12,7.51,1.65,0.545,0.545,59387,27358.32,184627,
Oregon,5.84,10.66,8.8,5.97,12.43,10.09,6.28,,,,37257,16904.58,54931,
Pennsylvania,3.59,13.64,9.6,7.2,11.04,9.32,8.59,2.77,0.726,0.726,235635,100082.4,241287,
Rhode Island,4.49,19.29,15.78,13.76,14.24,11.99,9.26,2.87,,,20042,7865.88,8624,
South Carolina,4.3,12.57,10.21,6.05,12.65,8.49,4.64,,,,27417,15475.68,84405,
South Dakota,4.86,11.08,9.16,7.37,8.3,6.22,5.34,1.65,0.545,0.545,11751,6886.44,44094,
Tennessee,4.61,10.3,10.16,6.17,9.62,8.46,5.06,1.65,0.545,0.545,67301,34844.7,114673,
Texas,7.26,11.56,8.15,5.59,10.62,6.95,2.89,2.3,,,211370,114146.34,1599279,
Utah,7.64,10.88,8.62,6.17,9.72,7.97,5.93,1.94,,,58562,23420.76,37189,
Vermont,3.71,17.09,14.54,10.27,14.56,7.89,5.5,2.87,,,3833,3903.9,2040,
Virginia,4.64,11.37,8.21,6.95,11.64,8.13,5.02,2.88,0.625,0.625,85464,45458.16,86817,
Washington,5.71,9.09,8.22,4.35,11.8,9.77,8.91,,,,71952,32623.14,76600,
West Virginia,4.03,10.08,8.61,6.09,10.48,9.14,3.17,,,,24807,14908.08,25901,
Wisconsin,4.39,14.11,10.89,7.58,8.54,6.78,5.65,1.65,0.545,0.545,126854,59417.82,136709,
Wyoming,5.92,10.97,9.12,6.76,9.33,7.43,5.07,,,,11576,8519.28,47667,
